set	num	mini	maxi	acc	miss	   
devel	121	801	2003	1	0	   
devel	122	801	2670	1	0	   
devel	123	801	2094	1	0	   
devel	124	801	3033	2	0	   
devel	125	801	1910	1	0	   
devel	126	801	1927	1	0	   
devel	127	801	1552	1	0	   
devel	128	801	1912	1	0	   
devel	129	830	1909	2	0	   
devel	130	801	1549	2	0	   
devel	131	801	2003	1	0	   
devel	132	801	2196	1	0	   
devel	133	801	3738	1	0	   
devel	134	801	2015	1	0	   
devel	135	801	3256	1	0	   
devel	136	890	1986	2	0	   
devel	137	801	4005	1	0	   
devel	138	801	3004	1	0	   
devel	139	801	1483	2	0	   
devel	140	801	1656	1	0	   
devel	141	824	1890	0	0	   
devel	142	801	3362	1	0	   
devel	143	801	2553	1	0	   
devel	144	811	2580	2	0	   
devel	145	809	1868	2	0	   
devel	146	801	3242	1	0	   
devel	147	801	1686	2	0	   
devel	148	801	1891	1	0	   
devel	149	877	2619	2	0	   
devel	150	863	1964	2	0	   
devel	151	801	1998	2	0	   
devel	152	801	1547	1	0	   
devel	153	818	1772	2	0	   
devel	154	855	1719	2	0	   
devel	155	801	2009	2	0	   
devel	156	853	2009	2	0	   
devel	157	801	3640	2	0	   
devel	158	828	2639	2	0	   
devel	159	801	3928	1	0	   
devel	160	962	1754	2	0	   
devel	161	962	1888	2	0	   
devel	162	812	1755	0	0	   
devel	163	801	1458	1	0	   
devel	164	801	1809	1	0	   
devel	165	801	1608	1	0	   
devel	166	866	2542	2	0	   
devel	167	801	1502	2	0	   
devel	168	801	1904	1	0	   
devel	169	830	2082	2	0	   
devel	170	801	1630	2	0	   
devel	171	801	1634	1	0	   
devel	172	801	1621	1	0	   
devel	173	801	1607	2	0	   
devel	174	801	1615	2	0	   
devel	175	801	2027	1	0	   
devel	176	801	1825	1	0	   
devel	177	801	1909	2	0	   
devel	178	874	1607	2	0	   
devel	179	853	1964	2	0	   
devel	180	895	2680	2	0	   
devel	181	859	2045	2	0	   
devel	182	801	2003	1	0	   
devel	183	801	1628	1	0	   
devel	184	801	1920	2	0	   
devel	185	902	1868	2	0	   
devel	186	842	1763	2	0	   
devel	187	801	2230	2	0	   
devel	188	801	2446	1	0	   
devel	189	801	2151	1	0	   
devel	190	801	2045	2	0	   
devel	191	959	2107	2	0	   
devel	192	801	1922	1	0	   
devel	193	801	2052	1	0	   
devel	194	801	2122	1	0	   
devel	195	801	1615	1	0	   
devel	196	801	1702	2	0	   
devel	197	801	1998	2	0	   
devel	198	801	1622	2	0	   
devel	199	801	2815	1	0	   
devel	200	995	2082	2	0	   
devel	201	892	1975	2	0	   
devel	202	998	1878	2	0	   
devel	203	801	2201	2	0	   
devel	204	801	1608	1	0	   
devel	205	801	2321	1	0	   
devel	206	855	2335	2	0	   
devel	207	959	2009	2	0	   
devel	208	1086	2045	2	0	   
devel	209	855	1711	2	0	   
devel	210	801	1899	2	0	   
devel	211	801	1524	1	0	   
devel	212	842	1638	2	0	   
devel	213	801	2980	2	0	   
devel	214	801	1844	1	0	   
devel	215	801	1610	1	0	   
devel	216	801	1983	1	0	   
devel	217	801	1900	1	0	   
devel	218	805	1645	2	0	   
devel	219	801	1615	1	0	   
devel	220	904	1728	2	0	   
devel	221	801	2644	1	0	   
devel	222	838	1745	2	0	   
devel	223	801	1630	2	0	   
devel	224	851	1790	2	0	   
devel	225	801	1630	2	0	   
devel	226	801	1952	2	0	   
devel	227	801	1459	1	0	   
devel	228	973	2082	2	0	   
devel	229	801	1615	2	0	   
devel	230	852	1749	0	0	   
devel	231	801	2108	1	0	   
devel	232	801	1507	1	0	   
devel	233	921	1909	2	0	   
devel	234	801	2209	1	0	   
devel	235	801	1800	2	0	   
devel	236	801	1645	2	0	   
devel	237	801	1630	2	0	   
devel	238	801	1615	1	0	   
devel	239	815	1549	2	0	   
devel	240	801	1986	2	0	   
devel	241	801	1622	2	0	   
devel	242	801	1585	2	0	   
devel	243	801	3439	1	0	   
devel	244	801	1802	1	0	   
devel	245	809	1986	2	0	   
devel	246	801	2150	1	0	   
devel	247	801	1828	2	0	   
devel	248	990	1838	2	0	   
devel	249	801	1828	2	0	   
devel	250	801	3056	1	0	   
devel	251	826	1952	2	0	   
devel	252	801	2185	1	0	   
devel	253	801	1697	1	0	   
devel	254	886	2069	2	0	   
devel	255	801	1986	2	0	   
devel	256	801	2230	2	0	   
devel	257	801	3143	2	0	   
devel	258	801	2403	1	0	   
devel	259	803	1669	2	0	   
devel	260	801	1553	1	0	   
devel	261	836	2351	2	0	   
devel	262	801	1542	2	0	   
devel	263	897	1728	2	0	   
devel	264	801	4005	1	0	   
devel	265	801	2598	1	0	   
devel	266	801	1622	1	0	   
devel	267	840	2722	2	0	   
devel	268	904	1986	2	0	   
devel	269	801	1622	1	0	   
devel	270	879	2639	2	0	   
devel	271	847	1758	0	0	   
devel	272	801	2569	1	0	   
devel	273	803	1920	2	0	   
devel	274	801	1949	1	0	   
devel	275	824	2120	2	0	   
devel	276	843	1752	0	0	   
devel	277	801	1986	2	0	   
devel	278	801	1787	1	0	   
devel	279	801	3854	1	0	   
devel	280	984	1858	2	0	   
devel	281	801	2082	2	0	   
devel	282	801	2792	1	0	   
devel	283	801	1728	2	0	   
devel	284	801	2102	1	0	   
devel	285	801	1795	1	0	   
devel	286	801	1608	1	0	   
devel	287	801	1894	1	0	   
devel	288	801	2027	1	0	   
devel	289	807	1998	2	0	   
devel	290	801	1828	2	0	   
devel	291	801	3049	1	0	   
devel	292	801	1653	2	0	   
devel	293	921	2082	2	0	   
devel	294	801	2346	1	0	   
devel	295	801	2045	2	0	   
devel	296	801	1811	1	0	   
devel	297	801	1879	1	0	   
devel	298	820	1998	2	0	   
devel	299	801	1541	1	0	   
devel	300	801	2374	1	0	   
devel	301	801	1458	2	0	   
devel	302	801	2083	1	0	   
devel	303	811	2120	2	0	   
devel	304	818	1711	2	0	   
devel	305	813	2095	2	0	   
devel	306	801	2033	2	0	   
devel	307	853	1790	2	0	   
devel	308	801	1728	2	0	   
devel	309	842	1770	0	0	   
devel	310	801	1602	1	0	   
devel	311	801	2033	2	0	   
devel	312	1016	2033	2	0	   
devel	313	836	2069	2	0	   
devel	314	895	1838	2	0	   
devel	315	801	2424	1	0	   
devel	316	801	1808	1	0	   
devel	317	801	2095	2	0	   
devel	318	801	1838	2	0	   
devel	319	828	1878	2	0	   
devel	320	801	1645	2	0	   
devel	321	803	2619	2	0	   
devel	322	801	1802	1	0	   
devel	323	801	1571	1	0	   
devel	324	801	2905	2	0	   
devel	325	801	2722	2	0	   
devel	326	1040	2120	2	0	   
devel	327	822	1774	0	0	   
devel	328	859	1719	2	0	   
devel	329	801	1888	2	0	   
devel	330	801	2304	2	0	   
devel	331	801	1904	1	0	   
devel	332	801	1838	2	0	   
devel	333	801	1975	2	0	   
devel	334	801	1814	1	0	   
devel	335	801	1764	1	0	   
devel	336	801	1795	1	0	   
devel	337	801	2580	2	0	   
devel	338	801	3191	1	0	   
devel	339	801	1848	2	0	   
devel	340	801	1809	1	0	   
devel	341	801	1848	2	0	   
devel	342	801	2107	2	0	   
devel	343	801	2788	2	0	   
devel	344	801	1968	1	0	   
devel	345	810	2126	0	0	   
devel	346	801	1711	1	0	   
devel	347	801	1809	1	0	   
devel	348	801	1529	1	0	   
devel	349	801	1645	2	0	   
devel	350	801	1809	1	0	   
devel	351	808	1928	0	0	   
devel	352	801	2276	1	0	   
devel	353	801	2021	2	0	   
devel	354	801	1547	1	0	   
devel	355	801	2174	2	0	   
devel	356	801	2453	1	0	   
devel	357	801	1818	1	0	   
devel	358	801	2147	1	0	   
devel	359	801	2003	1	0	   
devel	360	801	2680	2	0	   
devel	361	801	2580	2	0	   
devel	362	1069	1848	2	0	   
devel	363	801	1888	2	0	   
devel	364	916	1868	2	0	   
devel	365	801	1772	2	0	   
devel	366	801	1899	2	0	   
devel	367	801	1615	1	0	   
devel	368	801	1645	2	0	   
devel	369	1084	1751	0	0	   
devel	370	897	2351	2	0	   
devel	371	801	2734	1	0	   
devel	372	801	1755	1	0	   
devel	373	874	1964	2	0	   
devel	374	801	1571	2	0	   
devel	375	801	2317	1	0	   
devel	376	801	1986	2	0	   
devel	377	902	2069	2	0	   
devel	378	801	1986	2	0	   
devel	379	801	1524	1	0	   
devel	380	801	4005	1	0	   
devel	381	801	2107	2	0	   
devel	382	801	2033	2	0	   
devel	383	801	1904	1	0	   
devel	384	909	1986	2	0	   
devel	385	801	1553	1	0	   
devel	386	801	1986	2	0	   
devel	387	962	2082	2	0	   
devel	388	840	1874	0	0	   
devel	389	801	1615	1	0	   
devel	390	801	1458	2	0	   
devel	391	801	1960	1	0	   
devel	392	801	2422	1	0	   
devel	393	801	1978	1	0	   
devel	394	801	2957	1	0	   
devel	395	801	3058	1	0	   
devel	396	801	2057	2	0	   
devel	397	830	2881	2	0	   
devel	398	801	1674	1	0	   
devel	399	801	2097	1	0	   
devel	400	801	2133	2	0	   
devel	401	904	1719	2	0	   
devel	402	805	1858	2	0	   
devel	403	801	1809	1	0	   
devel	404	801	2384	2	0	   
devel	405	801	2722	2	0	   
devel	406	965	2009	2	0	   
devel	407	801	2120	2	0	   
devel	408	801	1828	2	0	   
devel	409	801	1621	1	0	   
devel	410	801	1930	1	0	   
devel	411	801	1998	2	0	   
devel	412	801	1899	2	0	   
devel	413	801	1556	2	0	   
devel	414	826	1748	0	0	   
devel	415	801	2461	1	0	   
devel	416	801	2234	1	0	   
devel	417	801	1952	2	0	   
devel	418	801	1828	2	0	   
devel	419	859	1719	2	0	   
devel	420	828	2639	2	0	   
devel	421	801	3522	1	0	   
devel	422	801	1825	1	0	   
devel	423	895	1868	2	0	   
devel	424	801	1800	2	0	   
devel	425	801	2516	1	0	   
devel	426	801	1702	2	0	   
devel	427	801	1541	1	0	   
devel	428	801	1625	1	0	   
devel	429	826	1956	0	0	   
devel	430	801	1808	1	0	   
devel	431	801	1983	1	0	   
devel	432	801	1736	2	0	   
devel	433	952	1800	2	0	   
devel	434	815	1645	2	0	   
devel	435	801	2033	2	0	   
devel	436	801	2259	2	0	   
devel	437	801	1711	2	0	   
devel	438	801	1998	2	0	   
devel	439	801	2357	1	0	   
devel	440	861	2857	2	0	   
devel	441	801	1924	1	0	   
devel	442	801	2009	2	0	   
devel	443	801	1583	1	0	   
devel	444	801	3471	1	0	   
devel	445	801	2297	1	0	   
devel	446	801	2168	1	0	   
devel	447	801	1916	1	0	   
devel	448	801	3783	1	0	   
devel	449	866	2069	2	0	   
devel	450	801	1828	2	0	   
devel	451	801	1983	1	0	   
devel	452	801	1802	1	0	   
devel	453	801	2045	2	0	   
devel	454	801	1694	2	0	   
devel	455	803	2009	2	0	   
devel	456	849	2045	2	0	   
devel	457	801	1809	1	0	   
devel	458	874	2335	2	0	   
devel	459	844	1888	2	0	   
devel	460	902	2021	2	0	   
devel	461	801	2580	2	0	   
devel	462	801	1795	1	0	   
devel	463	801	2098	1	0	   
devel	464	801	1528	1	0	   
devel	465	801	3115	2	0	   
devel	466	816	1776	0	0	   
devel	467	801	1727	1	0	   
devel	468	801	3928	1	0	   
devel	469	801	1509	2	0	   
devel	470	801	2234	1	0	   
devel	471	801	2111	1	0	   
devel	472	801	1547	1	0	   
devel	473	801	1809	1	0	   
devel	474	801	1795	1	0	   
devel	475	801	2560	2	0	   
devel	476	801	1489	1	1	   
devel	477	801	2819	1	1	   
devel	478	801	1944	1	1	   
devel	479	801	1745	1	1	   
devel	480	801	1885	1	3	 
final	1	859	2174	2	0	
final	2	1047	1920	2	0	
final	3	801	1858	2	0	
final	4	849	2244	2	0	
final	5	861	1998	2	0	
final	6	801	2244	2	0	
final	7	857	2107	2	0	
final	8	902	2095	2	0	
final	9	815	1763	2	0	
final	10	849	1711	2	0	
final	11	801	1563	2	0	
final	12	857	1763	2	0	
final	13	801	2107	2	0	
final	14	809	1858	2	0	
final	15	844	1888	2	0	
final	16	807	1986	2	0	
final	17	1013	1998	2	0	
final	18	830	2120	2	0	
final	19	890	3033	2	0	
final	20	828	1711	2	0	
